entity_name,principal_name,address,discovery_source,source_url,entity_type,aum_range,raw_payload
"EMFO, LLC","EMFO, LLC","2700 S COMMERCE PARKWAY, WESTON, FL, 33331",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1859434/000185943424000002/primary_doc.xml,,,"{""entity_name"": ""EMFO, LLC"", ""principal_name"": ""EMFO, LLC"", ""address"": ""2700 S COMMERCE PARKWAY, WESTON, FL, 33331""}"
"Wilshire Private Markets Family Office Fund II, L.P.","Wilshire Private Markets Family Office Fund II, L.P.",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1634667/000163466715000001/primary_doc.xml,,,"{""entity_name"": ""Wilshire Private Markets Family Office Fund II, L.P."", ""principal_name"": ""Wilshire Private Markets Family Office Fund II, L.P."", ""address"": null}"
"Synapse Ventures II, LP","Synapse Ventures II, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1807006/000180700620000001/primary_doc.xml,,,"{""entity_name"": ""Synapse Ventures II, LP"", ""principal_name"": ""Synapse Ventures II, LP"", ""address"": null}"
"Geller Multi-Vintage I, LLC","Geller Multi-Vintage I, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1592557/000091957414000267/primary_doc.xml,,,"{""entity_name"": ""Geller Multi-Vintage I, LLC"", ""principal_name"": ""Geller Multi-Vintage I, LLC"", ""address"": null}"
"TFO Purpose Fund, LP","TFO Purpose Fund, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1807008/000180700821000001/primary_doc.xml,,,"{""entity_name"": ""TFO Purpose Fund, LP"", ""principal_name"": ""TFO Purpose Fund, LP"", ""address"": null}"
Geller Select Alternatives LLC,Geller Select Alternatives LLC,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1574527/000091957413003058/primary_doc.xml,,,"{""entity_name"": ""Geller Select Alternatives LLC"", ""principal_name"": ""Geller Select Alternatives LLC"", ""address"": null}"
"TFO Synapse Venture Fund I, LP","TFO Synapse Venture Fund I, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1743723/000174372318000001/primary_doc.xml,,,"{""entity_name"": ""TFO Synapse Venture Fund I, LP"", ""principal_name"": ""TFO Synapse Venture Fund I, LP"", ""address"": null}"
JUGGERNAUT FUND LP,JUGGERNAUT FUND LP,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1219173/000121917319000001/primary_doc.xml,,,"{""entity_name"": ""JUGGERNAUT FUND LP"", ""principal_name"": ""JUGGERNAUT FUND LP"", ""address"": null}"
NO MARGIN FUND LP,NO MARGIN FUND LP,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/884674/000088467426000001/primary_doc.xml,,,"{""entity_name"": ""NO MARGIN FUND LP"", ""principal_name"": ""NO MARGIN FUND LP"", ""address"": null}"
"ECM-GF Co-Investors, LLC","ECM-GF Co-Investors, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1963556/000196355623000002/primary_doc.xml,,,"{""entity_name"": ""ECM-GF Co-Investors, LLC"", ""principal_name"": ""ECM-GF Co-Investors, LLC"", ""address"": null}"
CHARTWELL FAMILY FUND LP,CHARTWELL FAMILY FUND LP,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1076794/000093583617000143/primary_doc.xml,,,"{""entity_name"": ""CHARTWELL FAMILY FUND LP"", ""principal_name"": ""CHARTWELL FAMILY FUND LP"", ""address"": null}"
CHURCHILL FAMILY FUND TFI LP,CHURCHILL FAMILY FUND TFI LP,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1257767/000093583609000487/primary_doc.xml,,,"{""entity_name"": ""CHURCHILL FAMILY FUND TFI LP"", ""principal_name"": ""CHURCHILL FAMILY FUND TFI LP"", ""address"": null}"
"Chartwell Family ETF Fund, L.P.","Chartwell Family ETF Fund, L.P.",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1652422/000093583615000479/primary_doc.xml,,,"{""entity_name"": ""Chartwell Family ETF Fund, L.P."", ""principal_name"": ""Chartwell Family ETF Fund, L.P."", ""address"": null}"
Lazard Long/Short Equity Strategies LP,Lazard Long/Short Equity Strategies LP,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1621189/000162118924000003/primary_doc.xml,,,"{""entity_name"": ""Lazard Long/Short Equity Strategies LP"", ""principal_name"": ""Lazard Long/Short Equity Strategies LP"", ""address"": null}"
"Atlas Friends & Family Holdings, LLC","Atlas Friends & Family Holdings, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1883872/000188387221000001/primary_doc.xml,,,"{""entity_name"": ""Atlas Friends & Family Holdings, LLC"", ""principal_name"": ""Atlas Friends & Family Holdings, LLC"", ""address"": null}"
"Patel Family Holdings, LP","Patel Family Holdings, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1721637/000172163717000001/primary_doc.xml,,,"{""entity_name"": ""Patel Family Holdings, LP"", ""principal_name"": ""Patel Family Holdings, LP"", ""address"": null}"
KV Family Holdings LLC,KV Family Holdings LLC,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2085046/000208504626000001/primary_doc.xml,,,"{""entity_name"": ""KV Family Holdings LLC"", ""principal_name"": ""KV Family Holdings LLC"", ""address"": null}"
"MOCA FAMILY HOLDINGS, LLC","MOCA FAMILY HOLDINGS, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2104199/000210419926000001/primary_doc.xml,,,"{""entity_name"": ""MOCA FAMILY HOLDINGS, LLC"", ""principal_name"": ""MOCA FAMILY HOLDINGS, LLC"", ""address"": null}"
"Log Still Dant Family Holdings, LLC","Log Still Dant Family Holdings, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1835988/000183598824000003/primary_doc.xml,,,"{""entity_name"": ""Log Still Dant Family Holdings, LLC"", ""principal_name"": ""Log Still Dant Family Holdings, LLC"", ""address"": null}"
"Global Family Holdings, LLC","Global Family Holdings, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1903338/000190333822000001/primary_doc.xml,,,"{""entity_name"": ""Global Family Holdings, LLC"", ""principal_name"": ""Global Family Holdings, LLC"", ""address"": null}"
Chameleonic Family Holdings,Chameleonic Family Holdings,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2094549/000149315225020368/primary_doc.xml,,,"{""entity_name"": ""Chameleonic Family Holdings"", ""principal_name"": ""Chameleonic Family Holdings"", ""address"": null}"
"Castanea Family Holdings IV, LLC","Castanea Family Holdings IV, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1619947/000162025714000001/primary_doc.xml,,,"{""entity_name"": ""Castanea Family Holdings IV, LLC"", ""principal_name"": ""Castanea Family Holdings IV, LLC"", ""address"": null}"
"Home Surplus Holdings, LLC","Home Surplus Holdings, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1927720/000143774922014443/primary_doc.xml,,,"{""entity_name"": ""Home Surplus Holdings, LLC"", ""principal_name"": ""Home Surplus Holdings, LLC"", ""address"": null}"
"Ayers Energy Holdings II, LLC","Ayers Energy Holdings II, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2038481/000203848124000001/primary_doc.xml,,,"{""entity_name"": ""Ayers Energy Holdings II, LLC"", ""principal_name"": ""Ayers Energy Holdings II, LLC"", ""address"": null}"
GOAT Farm Enterprises LLC,GOAT Farm Enterprises LLC,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2123726/000212372626000001/primary_doc.xml,,,"{""entity_name"": ""GOAT Farm Enterprises LLC"", ""principal_name"": ""GOAT Farm Enterprises LLC"", ""address"": null}"
"Tribeca Family LP 1, LLC","Tribeca Family LP 1, LLC",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2105751/000210575126000001/primary_doc.xml,,,"{""entity_name"": ""Tribeca Family LP 1, LLC"", ""principal_name"": ""Tribeca Family LP 1, LLC"", ""address"": null}"
FENIMORE ASSET MANAGEMENT INC  (CIK 0000884566),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/884566/000090901201000078/primary_doc.xml,,,"{""entity_name"": ""FENIMORE ASSET MANAGEMENT INC  (CIK 0000884566)"", ""principal_name"": null, ""address"": null}"
DALTON GREINER HARTMAN MAHER & CO INC  (CIK 0000866842),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/866842/000086684201500003/primary_doc.xml,,,"{""entity_name"": ""DALTON GREINER HARTMAN MAHER & CO INC  (CIK 0000866842)"", ""principal_name"": null, ""address"": null}"
FRIEDMAN BILLINGS RAMSEY INVESTMENT MANAGEMENT INC /  (CIK 0001008875),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1008875/000100887501500003/primary_doc.xml,,,"{""entity_name"": ""FRIEDMAN BILLINGS RAMSEY INVESTMENT MANAGEMENT INC /  (CIK 0001008875)"", ""principal_name"": null, ""address"": null}"
Union Bankshares Corp,Union Bankshares Corp,"1051 East Cary Street, Richmond, VA, 23219",SEC EDGAR,https://www.sec.gov/Archives/edgar/data/883948/000114420417019871/primary_doc.xml,,,"{""entity_name"": ""Union Bankshares Corp"", ""principal_name"": ""Union Bankshares Corp"", ""address"": ""1051 East Cary Street, Richmond, VA, 23219""}"
TTF/FA  (CIK 0001134813),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1134813/000113481301500002/primary_doc.xml,,,"{""entity_name"": ""TTF/FA  (CIK 0001134813)"", ""principal_name"": null, ""address"": null}"
BANCORPSOUTH INC  (CIK 0000701853),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/701853/000095012310105800/primary_doc.xml,,,"{""entity_name"": ""BANCORPSOUTH INC  (CIK 0000701853)"", ""principal_name"": null, ""address"": null}"
ROCKEFELLER FINANCIAL SERVICES INC  (CIK 0000869878),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/869878/000031512301500007/primary_doc.xml,,,"{""entity_name"": ""ROCKEFELLER FINANCIAL SERVICES INC  (CIK 0000869878)"", ""principal_name"": null, ""address"": null}"
LOEB ARBITRAGE MANAGEMENT INC  (CIK 0001056569),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1056569/000089155401500791/primary_doc.xml,,,"{""entity_name"": ""LOEB ARBITRAGE MANAGEMENT INC  (CIK 0001056569)"", ""principal_name"": null, ""address"": null}"
WELLINGTON MANAGEMENT CO LLP  (CIK 0000902219),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/902219/000090221901000476/primary_doc.xml,,,"{""entity_name"": ""WELLINGTON MANAGEMENT CO LLP  (CIK 0000902219)"", ""principal_name"": null, ""address"": null}"
SCHWAB CHARLES INVESTMENT MANAGEMENT INC  (CIK 0000884546),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/884546/000091205701004584/primary_doc.xml,,,"{""entity_name"": ""SCHWAB CHARLES INVESTMENT MANAGEMENT INC  (CIK 0000884546)"", ""principal_name"": null, ""address"": null}"
FRANKLIN RESOURCES INC  (BEN)  (CIK 0000038777),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/38777/000003877701500016/primary_doc.xml,,,"{""entity_name"": ""FRANKLIN RESOURCES INC  (BEN)  (CIK 0000038777)"", ""principal_name"": null, ""address"": null}"
TIAA CREF INVESTMENT MANAGEMENT LLC  (CIK 0000887793),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/887793/000088779301000005/primary_doc.xml,,,"{""entity_name"": ""TIAA CREF INVESTMENT MANAGEMENT LLC  (CIK 0000887793)"", ""principal_name"": null, ""address"": null}"
WORLD ASSET MANAGEMENT LLC  (CIK 0000945628),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/945628/000095012401501083/primary_doc.xml,,,"{""entity_name"": ""WORLD ASSET MANAGEMENT LLC  (CIK 0000945628)"", ""principal_name"": null, ""address"": null}"
TEACHERS ADVISORS INC  (CIK 0000939222),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/939222/000088779301500028/primary_doc.xml,,,"{""entity_name"": ""TEACHERS ADVISORS INC  (CIK 0000939222)"", ""principal_name"": null, ""address"": null}"
FLEETBOSTON FINANCIAL CORP  (CIK 0000050341),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/50341/000100547701001178/primary_doc.xml,,,"{""entity_name"": ""FLEETBOSTON FINANCIAL CORP  (CIK 0000050341)"", ""principal_name"": null, ""address"": null}"
BARCLAYS GLOBAL INVESTORS NA /CA/  (CIK 0000913414),,,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/913414/000091341401500002/primary_doc.xml,,,"{""entity_name"": ""BARCLAYS GLOBAL INVESTORS NA /CA/  (CIK 0000913414)"", ""principal_name"": null, ""address"": null}"
"Woodlock Family Capital, L.P.","Woodlock Family Capital, L.P.",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1759792/000175979223000001/primary_doc.xml,,,"{""entity_name"": ""Woodlock Family Capital, L.P."", ""principal_name"": ""Woodlock Family Capital, L.P."", ""address"": null}"
"Slack Family Capital Burst II, a series of Slack Family Capital Burst, LP","Slack Family Capital Burst II, a series of Slack Family Capital Burst, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1892510/000189251021000001/primary_doc.xml,,,"{""entity_name"": ""Slack Family Capital Burst II, a series of Slack Family Capital Burst, LP"", ""principal_name"": ""Slack Family Capital Burst II, a series of Slack Family Capital Burst, LP"", ""address"": null}"
"Slack Family Capital Burst I, a Series of Slack Family Capital Burst, LP","Slack Family Capital Burst I, a Series of Slack Family Capital Burst, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1854771/000185477121000002/primary_doc.xml,,,"{""entity_name"": ""Slack Family Capital Burst I, a Series of Slack Family Capital Burst, LP"", ""principal_name"": ""Slack Family Capital Burst I, a Series of Slack Family Capital Burst, LP"", ""address"": null}"
"Friends & Family Capital IV, L.P.","Friends & Family Capital IV, L.P.",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/2116015/000211601526000001/primary_doc.xml,,,"{""entity_name"": ""Friends & Family Capital IV, L.P."", ""principal_name"": ""Friends & Family Capital IV, L.P."", ""address"": null}"
"PA Fund I, a series of C&S Family Capital SPVs, LP","PA Fund I, a series of C&S Family Capital SPVs, LP",,SEC EDGAR,https://www.sec.gov/Archives/edgar/data/1940618/000194061822000002/primary_doc.xml,,,"{""entity_name"": ""PA Fund I, a series of C&S Family Capital SPVs, LP"", ""principal_name"": ""PA Fund I, a series of C&S Family Capital SPVs, LP"", ""address"": null}"
