entity_name,entity_type,principal_name,principal_title,principal_linkedin,principal_email,entity_linkedin,website,address,aum_range,recent_signal,signal_date,discovery_source,source_url,verification_status,verification_notes
NOBLE FAMILY WEALTH,SFO,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,https://www.noblehome.com/th/home,"2475 ENTERPRISE RD., CLEARWATER, FL, 33763, United States",,Could not verify,Could not verify,IAPD,https://adviserinfo.sec.gov/firm/summary/315152,Medium,"Multiple snippets with the same entity name, but no additional information."
"818 FAMILY OFFICE, LLC",SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,https://drink818.com,"3711 S MOPAC EXPY, SUITE 150, AUSTIN, TX, 78746, United States",,Could not verify,Could not verify,IAPD,https://adviserinfo.sec.gov/firm/summary/339082,Medium,"No information found about 818 FAMILY OFFICE, LLC"
"BRADY FAMILY WEALTH, LLC",SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,https://www.bradyid.com,"1401 SOUTH BRENTWOOD BLVD., SUITE 880, SAINT LOUIS, MO, 63144, United States",,Could not verify,Could not verify,IAPD,https://adviserinfo.sec.gov/firm/summary/315635,Medium,"No information found about Brady Family Wealth, LLC"
"DCA FAMILY OFFICE, LLC",SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,https://www.service-public.pf/dca,"3721 DOUGLAS BLVD, SUITE 350, ROSEVILLE, CA, 95661, United States",,Could not verify,Could not verify,IAPD,https://adviserinfo.sec.gov/firm/summary/322047,Medium,"No information found about DCA FAMILY OFFICE, LLC in the provided snippets."
SIMPLICITY WEALTH,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,https://menstaysimplicity.com,"475 SPRINGFIELD AVE., SUITE #1, SUMMIT, NJ, 07901, United States",,Could not verify,Could not verify,IAPD,https://adviserinfo.sec.gov/firm/summary/300572,Medium,Could not verify
Baustert Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"101 E 5TH STREET, St Paul, MN, 55101-1898",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/473790400,Low,Could not verify
Beemok Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"200 MEETING STSTE 206, Charleston, SC, 29401-0000",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/465382571,Low,Could not verify
Bezos Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1700 7TH AVE STE 116 PMB 149, Seattle, WA, 98101-1323",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/912073258,Low,Could not verify
Bicket Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/921219558,Low,Could not verify
Biswas Family Foundation,SFO (Probable),Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,Could not verify,"1 EMBARCADERO CTR STE 2410, San Francisco, CA, 94111-3737",,Could not verify,Could not verify,ProPublica,https://projects.propublica.org/nonprofits/organizations/921348652,Low,Could not verify
